WO,"District
","Ward
","Date
","Shift
","Supervisor
",# Staff OR Contracted Crew,"Hours Worked
",# of Equipment (Dump Trucks),In-House/ Contractor (RAW),"Dump Truck Provider 
Contractor",Location,From ,To,"Type (Road Class/ School, Bridge)
","Equip. Method
","# Loads
","Tonnes 
(auto-populates)
","One Side/ Both Sides
","# Km
",Snow Dumped Site,__submission_id
21523122.0,SC,20,14-Feb-25,12:00 pm - 8:00 pm,Rafiqul Islam,1 crew,8,15.0,TOA1-2,TOA1-2,EB/ Kingston Rd,Victoria Park Ave,Warden Ave,"Arterial, Sidewalks, Bike Lanes (only a portion of the length)",Blower,39,390.0,One - South,1.33,Morningside,
21523395.0,SC,25,14-Feb-25,12:00 pm - 8:30 pm,L. Tulchinski / K. Daniel,1 crew,8.5,7.0,TOA1-1,TOA1-1,Kingston Rd,Port Union Rd,Ellesmere Rd,"Sidewalks,",Loader,15,150.0,One - North,0.9,Morningside,
21532793.0,TEY,14 & 13,18-Feb-25,7:00 pm - 7:00 am,Rafiqul Islam,1 crew,12,11.0,TOA1-2,TOA1-2,Bloor St E,Broadview Ave,Bayview Ave,"Arterial,  Sidewalks, Bridge, Bike Lane",Cameleon,29,290.0,One - North,0.39,Unwin,
21539672.0,SC,21/24,19-Feb-25,7:00 pm - 7:00 am,Kim Daniel/Leo Tulchinski,1 crew,12,9.0,TOA1-1,TOA1-1,Lawrence Ave - WB,Burnview Cres,McCowan Rd,"Arterial,  Sidewalks, Bridges",Loader,52,520.0,One - North,0.43,Morningside,
21545624.0,SC,25,20-Feb-25,7:00 pm - 7:00 am,Kim Daniel/Leo Tulchinski,1 crew,12,6.0,TOA1-1,TOA1-1,Lawrence Ave - WB,Overture Rd,Orton Park Rd,"Arterial,  Sidewalks, Bridges",Loader,48,480.0,One - North,0.51,Morningside,
,TEY,10,14-Feb-25,8:30 PM - 7:00 AM,Donovan Norville,1,10,17.0,DVP-FGGE,Emcon,FGGE,DVP,Spadina,Expressway,FEL w/Blower,60,600.0,North side,3.76,Unwin,
21544981.0,TEY,13,20-Feb-25,7:00 pm - 7:00 am,Rafiqul Islam,1,12,9.0,TOA1-2,TOA1-2,Bloor St E,Parliament St,Sherbourne St,"Arterial, Sidewalks,Bike Lanes",Cameleon,33,330.0,One,0.5,Unwin,
21541530.0,SC,25,20-Feb-25,7:00 am - 7:00 pm,Tran To,1 crew,12,10.0,TOA1-1,TOA1-1,Lawrence Ave E - EB,E of Orton Park Rd,Galloway Rd,"Arterial,  Sidewalks, Bridges",Loader,49,490.0,One - South,0.61,Morningside,
,TEY,10,2-Mar-25,,,,,,,,Cooper St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.21,,
,TEY,10,2-Mar-25,,,,,,,,Lower Jarvis St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.17,,
21546729.0,SC,25,21-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,8.0,TOA1-1,TOA1-1,Kingston Rd,Altona Rd (Pickering Border),West of Rouge Campgrounds,"Arterial,  Sidewalks, Bridges",Loader,31,310.0,One - South,0.55,Morningside,
21544946.0,SC,20,20-Feb-25,7:00 pm - 7:00 am,Lorenzo Dasilva,1,12,14.0,TOA1-2,TOA1-2,Kingston Rd,Midland Ave,Fenwood Heights,"Arterials & Sidewalks,",Blower,179,1790.0,One - South,2.35,Morningside,
,TEY,10,2-Mar-25,,,,,,,,Richardson St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.16,,
,TEY,10,2-Mar-25,,,,,,,,Bonnycastle St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.12,,
,SC,9,6-Mar-25,6:00 PM - 6:00 AM,Donovan Norville,5,9,,TOA1-4,King,Rogers Rd,McRoberts Ave,Earls Court Ave,Arterial,,12,120.0,S,0.51,Transit Rd,
,TEY,10,19-Feb-25,8:00 PM - 6:30 AM,Donovan Norville,7,10.5,10.0,DVP-FGGE,DVP-FGGE,FGGE,Spadina Ave,Javis st,Expressway,Blower,59,590.0,South,1.97,Unwin,
,TEY,10,2-Mar-25,,,,,,,,Small St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.09,,
21546484.0,SC,25,21-Feb-25,7:00 am - 7:00 pm,Tran To,1 crew,12,10.0,TOA1-1,TOA1-1,Lawrence Ave - WB,Meadowvale Rd,Beechgrove Dr,"Arterial,  Sidewalks, Bridges",Loader,57,570.0,One - North,0.47,Morningside,
,TEY,13,2-Mar-25,,,,,,,,Wilton St,Market St,Lower Jarvis St,Local,,,0.0,,0.06,,
21546703.0,SC,25,21-Feb-25,7:00 pm - 7:00 am,Kim Daniel,1 crew,11,11.0,TOA1-1,TOA1-1,Lawson Rd Off Ramp,Kingston Rd,Highland Creek Overpass,"Arterial,  Sidewalks, Bridges",Loader,16,160.0,Both - West & East,0,,
,TEY,19,24-Feb-25,7:00 AM - 5:00 PM,Marc Cerqua,13,10,13.0,TOA1-3,TOA1-3,Main St,Gerrard St,Danforth Ave,,Blower,32,320.0,Both sides,0.96,Unwin,
,TEY,10/13,2-Mar-25,,,,,,,,The Esplanade,Yonge St,Jarvis,Local,,,0.0,,0.5,,
,TEY,14,22-Feb-25,6:30 AM - 6:30 PM,Wyatt Cerqua,15,12,15.0,TOA1-3,TOA1-3,Mortimer Ave,Roosevelt Rd,Coxwell Ave,MSSR Arterial / Sidewalk,Loader,28,280.0,S,0.24,Unwin,
21541515.0,SC,20,20-Feb-25,7:00 am - 7:00 pm,Antonio Benavidez,16,12,10.0,TOA1-2,TOA1-2,Kingston Rd,Cliffside Dr,Midland Ave,"Arterial, Sidewalks,",Blower,74,740.0,One - South,0.9,Morningside,
21546703.0,SC,21/24,21-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,5.0,TOA1-1,TOA1-1,McCowan Rd,Corporate Dr,Corporate Dr WB Hwy 401 On Ramp,"Arterial,  Sidewalks, Bridges",Loader,0,0.0,One - East,0.36,Morningside,
,TEY,13,2-Mar-25,,,,,,,,Scott St,The Esplanade,Colborne St,Local,,,0.0,,0.28,,
,TEY,13,2-Mar-25,,,,,,,,Church St,Front St E,The Esplanade,Local,,,0.0,,0.13,,
,TEY,10/13/14,20-Feb-25,8:00 PM - 5:30 AM,Donovan Norville,1 crew,9.5,19.0,DVP-FGGE,DVP-FGGE,DVP Southbound,Bayview Ave,FGGE - Jarvis St,Expressway,,56,560.0,West side,5.47,Unwin,
21550615.0,SC,25,22-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,4.0,TOA1-1,TOA1-1,Kingston Rd over Rouge River,Graham Farm Ln,200 m E/of Altona Rd,"Arterial,  Sidewalks, Bridges",Loader,33,330.0,One - South,0.73,Morningside,
21550606.0,SC,25,22-Feb-25,7:00 am - 7:00 pm,Varouj Sorfazlian,1 crew,12,8.0,TOA1-1,TOA1-1,Kingston Road,Old Kingston Road,Morningside Avenue,"Arterial,  Sidewalks,",Blower,41,410.0,One - North,0.49,Morningside,
21550610.0,SC,24,22-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,4.0,TOA1-1,TOA1-1,Markham Rd over East Highland Creek,Progress Ave ,1275 Markham Rd,"Arterial,  Sidewalks, Bridges",Loader,23,230.0,One - East,0.1,Morningside,
,TEY,10,2-Mar-25,,,,,,,,Piper St,Entire Street,Entire Street,Local,,,0.0,,0.17,,
,TEY,13,2-Mar-25,,,,,,,,Jordan St,Entire Street,Entire Street,Local,,,0.0,,0.06,,
,TEY,14/19,24-Feb-25,7:00 AM - 4:30 PM,John Alphonso,1 crew,9.5,17.0,DVP-FGGE,DVP-FGGE,O'Connor Dr,Pape Ave,Hutton Ave,MSSR Arterial,Blower,51,510.0,S,1.91,Unwin,
,TEY,13,2-Mar-25,,,,,,,,Colborne St,Entire Street,Entire Street,Local,,,0.0,,0.37,,
,TEY,19,25-Feb-25,7:00 AM - 3:00 PM,John Alphonso,1 crew,8,6.0,DVP-FGGE,DVP-FGGE,O'Connor Dr,Coxwell Ave,Woodbine Ave,MSSR Arterial,Blower,33,330.0,South,0.87,Unwin,
,TEY,14,26-Feb-25,7:00 AM - 1:15 PM,John Alphonso,1 Crew,6.25,16.0,DVP-FGGE,DVP-FGGE,Donlands Ave,Plains Rd,O'Connor Dr,MSSR Arterial,Blower,22,220.0,East,0.2,Unwin,
,TEY,19,2-Mar-25,7:00 AM - 5:00 PM,John Alphonso,1 Crew,10,18.0,DVP-FGGE,DVP-FGGE,O'Connor Dr,Glenwood Cres,St. Clair Ave E,Arterial,Blower,36,360.0,E,0.38,Unwin,
21552124.0,SC,25,22-Feb-25,7:00 pm - 7:00 am,Kim Daniel,1 crew,12,12.0,TOA1-1,TOA1-1,Morningside Ave,Bridge over Highland Creek,South of Ellesmere Rd,"Arterial,  Sidewalks, Bridges",Loader,17,170.0,One - East,0.55,Morningside,
21552838.0,SC,24,23-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,9.0,TOA1-1,TOA1-1,(continuation) Corporate Dr,Consillium Pl,88 Corporate Dr,"Collector, Sidewalks,",Loader,20,200.0,One - North,0,Morningside,
,TEY,14,4-Mar-25,7:00 AM - 5:00 PM,John Alphonso,1 Crew,10,16.0,DVP-FGGE,DVP-FGGE,Plains Rd,Donlands Ave,Coxwell Ave,,Blower,24,240.0,South,1.13,Unwin,
,TEY,19,6-Mar-25,7:00 AM - 12:00 PM,James Rooney,1 Crew,5,11.0,DVP-FGGE,DVP-FGGE,Roseheath Ave,Danforth Ave,Stacy Ave,local,blower,15,150.0,e,0.253,Unwin,
21552840.0,SC,25,23-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,11.0,TOA1-1,TOA1-1,(continuation) Kingston Rd bridge over Rouge River,200 m E/of Altona Rd,Altona Rd,"Arterial,  Sidewalks, Bridges",Loader,49,490.0,One - South,0.2,Morningside,
,TEY,13,2-Mar-25,,,,,,,,Toronto St,Adelaide St E,King St E,Local,,,0.0,,0.14,,
,TEY,13,2-Mar-25,,,,,,,,Court St,Church St,Toronto St,Local,,,0.0,,0.13,,
,TEY,13,2-Mar-25,,,,,,,,Lombard St,Jarvis St,Victoria St,Local,,,0.0,,0.4,,
21554285.0,SC,25,23-Feb-25,7:00 pm - 7:00 am,Kim Daniel,1 crew,12,16.0,TOA1-1,TOA1-1,Kingston Rd,Markham Rd,Scarborough Golf Club R,"Arterial, Sidewalks",Loader,62,620.0,One - South,1,Morningside,
,TEY,13,2-Mar-25,,,,,,,,Berti St,Queen St E,Richmond St ,Local,,,0.0,,0.07,,
,TEY,13,2-Mar-25,,,,,,,,Victoria St,Queen St E,Colborne St,Local,,,0.0,,0.45,,
